doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s11049-017-9398-4	Lund University	Natural Language & Linguistic Theory	Linguistics	0167-806X	1573-0859	2018
10.1007/s10680-018-9465-5	Umea University	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018
10.1007/s00159-017-0106-5	Uppsala University	The Astronomy and Astrophysics Review	Physics	0935-4956	1432-0754	2018
10.1007/s11666-017-0684-9	University West	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2018
10.1007/s10439-017-1976-4	Chalmers University of Technology	Annals of Biomedical Engineering	Biomedicine	0090-6964	1573-9686	2018
10.1007/s13324-018-0211-2	Stockholm University	Analysis and Mathematical Physics	Mathematics	1664-2368	1664-235X	2018
10.1007/s00268-018-4460-x	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018
10.1007/s12685-017-0209-y	Uppsala University	Water History	Environment	1877-7236	1877-7244	2018
10.1007/s12186-017-9196-5	Karlstad University	Vocations and Learning	Education	1874-785X	1874-7868	2018
10.1007/s11217-018-9597-4	Lund University	Studies in Philosophy and Education	Education	0039-3746	1573-191X	2018
10.1007/s10677-018-9862-1	Lund University	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2018
10.1007/s40194-018-0548-z	University West	Welding in the World	Materials Science	0043-2288	1878-6669	2018
10.1007/s10344-018-1164-3	Swedish University of Agricultural Sciences	European Journal of Wildlife Research	Life Sciences	1612-4642	1439-0574	2018
10.1007/s00382-018-4095-5	Stockholm University	Climate Dynamics	Earth Sciences	0930-7575	1432-0894	2018
10.1007/s11657-018-0421-0	Umea University	Archives of Osteoporosis	Medicine & Public Health	1862-3522	1862-3514	2018
10.1007/s10853-017-1968-7	Royal Institute of Technology	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018
10.1007/s10853-018-2036-7	Royal Institute of Technology	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018
10.1007/s10798-017-9438-8	Royal Institute of Technology	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2018
10.1007/s00277-018-3245-5	Lund University	Annals of Hematology	Medicine & Public Health	0939-5555	1432-0584	2018
10.1007/s00424-017-2096-6	Karolinska Institute	Pflügers Archiv - European Journal of Physiology	Biomedicine	0031-6768	1432-2013	2018
10.1007/s00125-017-4521-y	Swedish University of Agricultural Sciences	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018
10.1007/s00382-018-4074-x	University of Gothenburg	Climate Dynamics	Earth Sciences	0930-7575	1432-0894	2018
10.1007/s12035-017-0844-4	Uppsala University	Molecular Neurobiology	Biomedicine	0893-7648	1559-1182	2018
10.1007/s00232-017-0010-y	Linnaeus University	The Journal of Membrane Biology	Life Sciences	0022-2631	1432-1424	2018
10.1007/s12220-018-9985-6	Chalmers University of Technology	The Journal of Geometric Analysis	Mathematics	1050-6926	1559-002X	2018
10.1007/s11695-017-3099-2	Örebro University	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018
10.1007/s10552-017-0999-3	Lund University	Cancer Causes & Control	Biomedicine	0957-5243	1573-7225	2018
10.1007/s00894-017-3572-9	Royal Institute of Technology	Journal of Molecular Modeling	Chemistry	1610-2940	0948-5023	2018
10.1007/s10032-017-0293-7	Blekinge Institute of Technology	International Journal on Document Analysis and Recognition (IJDAR)	Computer Science	1433-2833	1433-2825	2018
