"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"bth",2017,2200,"10.1007/s10664-016-9497-6",TRUE,"Springer Nature","Empirical Software Engineering","1382-3256","1382-3256","1573-7616",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s11219-017-9360-z",TRUE,"Springer Nature","Software Quality Journal","0963-9314","0963-9314","1573-1367",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s11219-017-9373-7",TRUE,"Springer Nature","Software Quality Journal","0963-9314","0963-9314","1573-1367",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s11071-017-3560-8",TRUE,"Springer Nature","Nonlinear Dynamics","0924-090X","0924-090X","1573-269X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s10586-017-0912-6",TRUE,"Springer Nature","Cluster Computing","1386-7857","1386-7857","1573-7543",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s10468-017-9696-x",TRUE,"Springer Nature","Algebras and Representation Theory","1386-923X","1386-923X","1572-9079",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s11071-017-3785-6",TRUE,"Springer Nature","Nonlinear Dynamics","0924-090X","0924-090X","1573-269X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s12369-017-0437-4",TRUE,"Springer Nature","International Journal of Social Robotics","1875-4791","1875-4791","1875-4805",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"bth",2017,2200,"10.1007/s11187-017-9948-5",TRUE,"Springer Nature","Small Business Economics","0921-898X","0921-898X","1573-0913",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s00170-016-9894-4",TRUE,"Springer Nature","The International Journal of Advanced Manufacturing Technology","0268-3768","0268-3768","1433-3015",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s11075-016-0250-4",TRUE,"Springer Nature","Numerical Algorithms","1017-1398","1017-1398","1572-9265",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s11085-016-9697-x",TRUE,"Springer Nature","Oxidation of Metals","0030-770X","0030-770X","1573-4889",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s10967-017-5172-7",TRUE,"Springer Nature","Journal of Radioanalytical and Nuclear Chemistry","0236-5731","0236-5731","1588-2780",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28344377","PMC5346139",NA,NA,FALSE
"cth",2017,2200,"10.1007/s11085-016-9703-3",TRUE,"Springer Nature","Oxidation of Metals","0030-770X","0030-770X","1573-4889",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s11085-016-9695-z",TRUE,"Springer Nature","Oxidation of Metals","0030-770X","0030-770X","1573-4889",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s11666-017-0532-y",TRUE,"Springer Nature","Journal of Thermal Spray Technology","1059-9630","1059-9630","1544-1016",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s11590-017-1108-y",TRUE,"Springer Nature","Optimization Letters","1862-4472","1862-4472","1862-4480",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2017,2200,"10.1007/s10494-017-9801-6",TRUE,"Springer Nature","Flow, Turbulence and Combustion","1386-6184","1386-6184","1573-1987",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
