institution	period	euro	doi	is_hybrid
bth	2017	2200	10.1007/s10664-016-9497-6	TRUE
bth	2017	2200	10.1007/s11219-017-9360-z	TRUE
bth	2017	2200	10.1007/s11219-017-9373-7	TRUE
bth	2017	2200	10.1007/s11071-017-3560-8	TRUE
bth	2017	2200	10.1007/s10586-017-0912-6	TRUE
bth	2017	2200	10.1007/s10468-017-9696-x	TRUE
bth	2017	2200	10.1007/s11071-017-3785-6	TRUE
bth	2017	2200	10.1007/s12369-017-0437-4	TRUE
bth	2017	2200	10.1007/s11187-017-9948-5	TRUE
cth	2017	2200	10.1007/s00170-016-9894-4	TRUE
cth	2017	2200	10.1007/s11075-016-0250-4	TRUE
cth	2017	2200	10.1007/s11085-016-9697-x	TRUE
cth	2017	2200	10.1007/s10967-017-5172-7	TRUE
cth	2017	2200	10.1007/s11085-016-9703-3	TRUE
cth	2017	2200	10.1007/s11085-016-9695-z	TRUE
cth	2017	2200	10.1007/s11666-017-0532-y	TRUE
cth	2017	2200	10.1007/s11590-017-1108-y	TRUE
cth	2017	2200	10.1007/s10494-017-9801-6	TRUE
cth	2017	2200	10.1007/s11581-017-2016-y	TRUE
cth	2017	2200	10.1007/s11085-017-9731-7	TRUE
cth	2017	2200	10.1007/s11367-017-1277-z	TRUE
cth	2017	2200	10.1007/s00253-017-8126-7	TRUE
cth	2017	2200	10.1007/s10295-017-1911-6	TRUE
cth	2017	2200	10.1007/s40831-017-0117-5	TRUE
cth	2017	2200	10.1007/s10921-017-0397-5	TRUE
cth	2017	2200	10.1007/s10008-017-3518-2	TRUE
cth	2017	2200	10.1007/s00066-017-1106-0	TRUE
cth	2017	2200	10.1007/s00170-017-0214-4	TRUE
cth	2017	2200	10.1007/s00226-017-0896-7	TRUE
cth	2017	2200	10.1007/s10959-017-0743-7	TRUE
cth	2017	2200	10.1007/s11085-017-9763-z	TRUE
cth	2017	2200	10.1007/s11085-017-9765-x	TRUE
cth	2017	2200	10.1007/s12678-017-0368-8	TRUE
cth	2017	2200	10.1140/epjst/e2016-60362-9	TRUE
cth	2017	2200	10.1007/s10570-017-1283-0	TRUE
cth	2017	2200	10.1007/s40831-017-0122-8	TRUE
cth	2017	2200	10.1007/s00773-017-0451-0	TRUE
cth	2017	2200	10.1007/s11440-017-0553-1	TRUE
cth	2017	2200	10.1007/s00170-017-0259-4	TRUE
cth	2017	2200	10.1007/s11222-017-9748-4	TRUE
cth	2017	2200	10.1007/s11367-017-1309-8	TRUE
cth	2017	2200	10.1007/s10570-017-1288-8	TRUE
cth	2017	2200	10.1007/s11664-017-5484-y	TRUE
cth	2017	2200	10.1007/s10703-017-0274-y	TRUE
cth	2017	2200	10.1007/s11367-017-1308-9	TRUE
cth	2017	2200	10.1007/s00253-017-8266-9	TRUE
cth	2017	2200	10.1007/s11085-017-9782-9	TRUE
cth	2017	2200	10.1007/s00253-017-8310-9	TRUE
cth	2017	2200	10.1007/s00466-017-1419-y	TRUE
cth	2017	2200	10.1007/s00220-017-2926-6	TRUE
cth	2017	2200	10.1007/s00285-017-1154-1	TRUE
cth	2017	2200	10.1007/s00466-017-1426-z	TRUE
cth	2017	2200	10.1007/s00601-017-1307-1	TRUE
cth	2017	2200	10.1007/s10529-017-2371-9	TRUE
cth	2017	2200	10.1007/s10543-017-0666-9	TRUE
cth	2017	2200	10.1007/s10562-017-2083-8	TRUE
cth	2017	2200	10.1007/s10687-017-0294-4	TRUE
cth	2017	2200	10.1007/s10705-017-9861-y	TRUE
cth	2017	2200	10.1007/s10955-017-1833-8	TRUE
cth	2017	2200	10.1007/s11356-017-9508-1	TRUE
cth	2017	2200	10.1007/s11367-017-1330-y	TRUE
cth	2017	2200	10.1007/s12220-017-9873-5	TRUE
cth	2017	2200	10.1140/epjd/e2017-80102-2	TRUE
cth	2017	2200	10.1007/s12220-017-9888-y	TRUE
cth	2017	2200	10.1007/s10562-017-2133-2	TRUE
cth	2017	2200	10.1007/s00211-017-0905-7	TRUE
cth	2017	2200	10.1007/s11367-017-1362-3	TRUE
cth	2017	2200	10.1007/s11075-017-0352-7	TRUE
