doi	institution	period	euro	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	issn_l	license_ref	indexed_in_crossref	pmid	pmcid	ut	url	doaj
10.1007/s11249-016-0716-5	kth	2016	2200	TRUE	Springer	Tribology Letters	1023-8883	1023-8883	1573-2711	1023-8883	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000382392200001	NA	FALSE
10.1007/s11434-016-1146-3	lu	2016	2200	TRUE	Springer	Science Bulletin	2095-9273	2095-9273	2095-9281	2095-9273	http://www.elsevier.com/tdm/userlicense/1.0/	TRUE	27635282	PMC5002044	ut:000382391600005	NA	FALSE
10.1007/s00249-016-1158-6	umu	2016	2200	TRUE	Springer	European Biophysics Journal	0175-7571	0175-7571	1432-1017	0175-7571	http://creativecommons.org/licenses/by/4.0	TRUE	27461369	PMC5346443	ut:000397496200002	NA	FALSE
10.1007/s11663-016-0760-4	kth	2016	2200	TRUE	Springer	Metallurgical and Materials Transactions B	1073-5615	1073-5615	1543-1916	1073-5615	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000384548800003	NA	FALSE
10.1007/s10726-016-9494-6	su	2016	2200	TRUE	Springer	Group Decision and Negotiation	0926-2644	0926-2644	1572-9907	0926-2644	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000404230500003	NA	FALSE
10.1007/s40141-016-0128-3	gu	2016	2200	TRUE	Springer	Current Physical Medicine and Rehabilitation Reports	2167-4833	NA	2167-4833	2167-4833	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	NA	NA	FALSE
10.1007/s10823-016-9296-y	mdh	2016	2200	TRUE	Springer	Journal of Cross-Cultural Gerontology	0169-3816	0169-3816	1573-0719	0169-3816	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000408865400003	NA	FALSE
10.1007/s10071-016-1016-z	lu	2016	2200	TRUE	Springer	Animal Cognition	1435-9448	1435-9448	1435-9456	1435-9448	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000385153000020	NA	FALSE
10.1007/s10107-016-1055-x	cth	2016	2200	TRUE	Springer	Mathematical Programming	0025-5610	0025-5610	1436-4646	0025-5610	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000399178500003	NA	FALSE
10.1007/s11249-016-0727-2	ltu	2016	2200	TRUE	Springer	Tribology Letters	1023-8883	1023-8883	1573-2711	1023-8883	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000382392200006	NA	FALSE
