"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"su",2017,2457,"10.1002/2016gl071772",TRUE,"Wiley","Geophysical Research Letters","0094-8276",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,3750,"10.1002/2016wr019954",TRUE,"Wiley","Water Resources Research","0043-1397",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,3000,"10.1002/2017gb005656",TRUE,"Wiley","Global Biogeochemical Cycles","0886-6236",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,2937,"10.1002/2017gl073056",TRUE,"Wiley","Geophysical Research Letters","0094-8276",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28781391","PMC5518298",NA,NA,FALSE
"su",2017,2000,"10.1002/2017gl074786",TRUE,"Wiley","Geophysical Research Letters","0094-8276",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,1571,"10.1002/2017ms000930",FALSE,"Wiley","Journal of Advances in Modeling Earth Systems","1942-2466",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"su",2017,1083,"10.1002/2211-5463.12212",FALSE,"Wiley","FEBS Open Bio","2211-5463",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28469974","PMC5407890",NA,NA,TRUE
"su",2017,3500,"10.1002/ajpa.23308",TRUE,"Wiley","American Journal of Physical Anthropology","0002-9483",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28884802","PMC5724682",NA,NA,FALSE
"su",2017,1542,"10.1002/aqc.2771",TRUE,"Wiley","Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,771,"10.1002/aqc.2772",TRUE,"Wiley","Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613",NA,NA,NA,"http://onlinelibrary.wiley.com/termsAndConditions#vor",TRUE,NA,NA,NA,NA,FALSE
"su",2017,771,"10.1002/aqc.2773",TRUE,"Wiley","Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613",NA,NA,NA,"http://onlinelibrary.wiley.com/termsAndConditions#vor",TRUE,NA,NA,NA,NA,FALSE
"su",2017,3000,"10.1002/chem.201703057",TRUE,"Wiley","Chemistry - A European Journal","0947-6539",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28792102","PMC5639379",NA,NA,FALSE
"su",2017,2500,"10.1002/cssc.201700436",TRUE,"Wiley","ChemSusChem","1864-5631",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28394095","PMC5488201",NA,NA,FALSE
"su",2017,1224,"10.1002/ece3.2826",TRUE,"Wiley","Ecology and Evolution","2045-7758",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28405274","PMC5383469",NA,NA,TRUE
"su",2017,1224,"10.1002/ece3.2965",FALSE,"Wiley","Ecology and Evolution","2045-7758",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28616176","PMC5468129",NA,NA,TRUE
"su",2017,1224,"10.1002/ece3.3173",FALSE,"Wiley","Ecology and Evolution","2045-7758",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28861215","PMC5574768",NA,NA,TRUE
"su",2017,1224,"10.1002/ece3.3350",FALSE,"Wiley","Ecology and Evolution","2045-7758",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29043049","PMC5632610",NA,NA,TRUE
"su",2017,1203,"10.1002/ecs2.1714",FALSE,"Wiley","Ecosphere","2150-8925",NA,NA,NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"su",2017,1203,"10.1002/ecs2.1741",FALSE,"Wiley","Ecosphere","2150-8925",NA,NA,NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"su",2017,1203,"10.1002/ecs2.1922",FALSE,"Wiley","Ecosphere","2150-8925",NA,NA,NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"su",2017,3734,"10.1002/ecy.1949",TRUE,"Wiley","Ecology","0012-9658",NA,NA,NA,"http://onlinelibrary.wiley.com/termsAndConditions#vor",TRUE,"28718884",NA,NA,NA,FALSE
"su",2017,2385,"10.1002/eet.1781",TRUE,"Wiley","Environmental Policy and Governance","1756-932X",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,2500,"10.1002/etc.3649",TRUE,"Wiley","Environmental Toxicology and Chemistry","0730-7268",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27731510",NA,NA,NA,FALSE
"su",2017,3417,"10.1002/jat.3510",TRUE,"Wiley","Journal of Applied Toxicology","0260-437X",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28815640","PMC5697686",NA,NA,FALSE
"su",2017,3504,"10.1002/jat.3578",TRUE,"Wiley","Journal of Applied Toxicology","0260-437X",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29297199",NA,NA,NA,FALSE
"su",2017,3583,"10.1002/jcc.24863",TRUE,"Wiley","Journal of Computational Chemistry","0192-8651",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28667689","PMC5575486",NA,NA,FALSE
"su",2017,2500,"10.1002/ldr.2747",TRUE,"Wiley","Land Degradation & Development","1085-3278",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"su",2017,3397,"10.1002/lno.10650",TRUE,"Wiley","Limnology and Oceanography","0024-3590",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
