institution	period	euro	doi	is_hybrid	publisher
su	2018	677	10.1002/1348-9585.12020	FALSE	Wiley
su	2018	4e3	10.1002/anie.201710272	TRUE	Wiley
su	2018	3500	10.1002/anie.201807001	TRUE	Wiley
su	2018	4e3	10.1002/anie.201810501	TRUE	Wiley
su	2018	1224	10.1002/ece3.3877	FALSE	Wiley
su	2018	1530	10.1002/ece3.3952	FALSE	Wiley
su	2018	1377	10.1002/ece3.4027	FALSE	Wiley
su	2018	1224	10.1002/ece3.4534	FALSE	Wiley
su	2018	1530	10.1002/ece3.4579	FALSE	Wiley
su	2018	1503.75	10.1002/ecs2.2215	FALSE	Wiley
su	2018	2500	10.1002/imhj.21747	TRUE	Wiley
su	2018	2500	10.1002/jqs.3033	TRUE	Wiley
su	2018	3150	10.1002/ldr.3083	TRUE	Wiley
su	2018	3789.9	10.1002/ldr.3101	TRUE	Wiley
su	2018	3150	10.1002/ldr.3106	TRUE	Wiley
su	2018	3150	10.1002/ldr.3115	TRUE	Wiley
su	2018	2e3	10.1002/lno.11009	TRUE	Wiley
su	2018	3417	10.1002/rcm.8158	TRUE	Wiley
su	2018	2333	10.1002/wat2.1312	TRUE	Wiley
su	2018	3500	10.1002/wcc.496	TRUE	Wiley
su	2018	2202.5	10.1007/s11356-018-1887-4	TRUE	Springer Nature
su	2018	1767.44	10.1016/j.adolescence.2018.04.005	TRUE	Elsevier
su	2018	4375	10.1016/j.agrformet.2017.12.252	TRUE	Elsevier
su	2018	972.09	10.1016/j.alcr.2018.10.003	TRUE	Elsevier
su	2018	3605.58	10.1016/j.bbamem.2018.03.001	TRUE	Elsevier
su	2018	3446.51	10.1016/j.cosust.2018.01.007	TRUE	Elsevier
su	2018	5567.4400000000005	10.1016/j.cub.2018.06.053	TRUE	Cell Press
su	2018	2240	10.1016/j.drugpo.2018.12.001	TRUE	Elsevier
su	2018	3139.71	10.1016/j.envint.2017.09.014	TRUE	Elsevier
su	2018	3313.95	10.1016/j.envint.2018.06.009	TRUE	Elsevier
su	2018	380.6	10.1016/j.envint.2018.09.006	TRUE	Elsevier
su	2018	2160	10.1016/j.forpol.2018.11.002	TRUE	Elsevier
su	2018	2651.16	10.1016/j.gca.2018.02.036	TRUE	Elsevier
su	2018	2651.16	10.1016/j.gloplacha.2018.09.004	TRUE	Elsevier
su	2018	2242.65	10.1016/j.jastp.2017.11.007	TRUE	Elsevier
su	2018	4197.68	10.1016/j.jcis.2018.03.034	TRUE	Elsevier
su	2018	3004.65	10.1016/j.jenvman.2018.04.012	TRUE	Elsevier
su	2018	2267.91	10.1016/j.jmarsys.2018.06.004	TRUE	Elsevier
su	2018	2076.74	10.1016/j.jmb.2018.04.036	TRUE	Elsevier
su	2018	1944.19	10.1016/j.jnoncrysol.2018.07.060	TRUE	Elsevier
su	2018	1272.56	10.1016/j.landurbplan.2018.07.005	TRUE	Elsevier
su	2018	1550	10.1016/j.leaqua.2018.11.006	TRUE	Elsevier
su	2018	2063.24	10.1016/j.marpol.2017.11.035	TRUE	Elsevier
su	2018	2460.12	10.1016/j.marpol.2018.10.023	TRUE	Elsevier
su	2018	972.09	10.1016/j.mbs.2018.04.002	TRUE	Elsevier
su	2018	2209.3	10.1016/j.micromeso.2018.06.019	TRUE	Elsevier
su	2018	2562.79	10.1016/j.palaeo.2018.01.039	TRUE	Elsevier
su	2018	3227.91	10.1016/j.psyneuen.2018.06.003	TRUE	Elsevier
su	2018	2781.47	10.1016/j.quascirev.2018.03.013	TRUE	Elsevier
su	2018	972.09	10.1016/j.rssm.2018.06.005	TRUE	Elsevier
su	2018	3004.65	10.1016/j.scitotenv.2018.08.194	TRUE	Elsevier
su	2018	1104.65	10.1016/j.ssmph.2018.03.001	FALSE	Elsevier
su	2018	1100	10.1016/j.ssmph.2018.05.008	FALSE	Elsevier
su	2018	1104.65	10.1016/j.ssmph.2018.07.007	FALSE	Elsevier
su	2018	1104.65	10.1016/j.ssmph.2018.09.001	FALSE	Elsevier
su	2018	3093	10.1016/j.stemcr.2018.03.014	FALSE	Cell Press
su	2018	3230	10.1016/j.watres.2018.10.083	TRUE	Elsevier
su	2018	2752.39	10.1017/S204017441800065X	TRUE	Cambridge University Press
su	2018	2084	10.1021/acs.est.7b05595	TRUE	American Chemical Society (ACS)
su	2018	1698.48	10.1021/acs.est.8b00144	TRUE	American Chemical Society (ACS)
su	2018	1698.48	10.1021/acs.estlett.8b00119	TRUE	American Chemical Society (ACS)
su	2018	2639.13	10.1021/acs.estlett.8b00196	TRUE	American Chemical Society (ACS)
su	2018	2280.63	10.1021/acs.estlett.8b00216	TRUE	American Chemical Society (ACS)
su	2018	1223.8500000000001	10.1021/acs.inorgchem.7b02968	TRUE	American Chemical Society (ACS)
su	2018	2687.8500000000004	10.1021/acs.jpcb.8b04823	TRUE	American Chemical Society (ACS)
su	2018	1303.82	10.1021/acs.jpcc.8b02165	TRUE	American Chemical Society (ACS)
su	2018	1360.74	10.1021/acs.jpclett.8b02907	TRUE	American Chemical Society (ACS)
su	2018	1604.2	10.1021/acs.langmuir.7b03705	TRUE	American Chemical Society (ACS)
su	2018	1757.43	10.1021/acs.langmuir.8b01371	TRUE	American Chemical Society (ACS)
su	2018	1659.7400000000002	10.1021/acscatal.7b02987	TRUE	American Chemical Society (ACS)
su	2018	1366.91	10.1021/acscatal.8b03360	TRUE	American Chemical Society (ACS)
su	2018	1348.88	10.1021/acsearthspacechem.8b00091	TRUE	American Chemical Society (ACS)
su	2018	603.98	10.1021/acsomega.8b00012	FALSE	American Chemical Society (ACS)
su	2018	651.91	10.1021/acsomega.8b00854	FALSE	American Chemical Society (ACS)
su	2018	651.91	10.1021/acsomega.8b01274	FALSE	American Chemical Society (ACS)
su	2018	688.9200000000001	10.1021/acsomega.8b01368	FALSE	American Chemical Society (ACS)
su	2018	1366.91	10.1021/jacs.8b06984	TRUE	American Chemical Society (ACS)
su	2018	1366.91	10.1021/jacs.8b08708	TRUE	American Chemical Society (ACS)
su	2018	3221.32	10.1029/2018GB005914	TRUE	Wiley
su	2018	3e3	10.1029/2018GB005969	TRUE	Wiley
su	2018	2e3	10.1029/2018gl079614	TRUE	American Geophysical Union
su	2018	2e3	10.1029/2018GL080704	TRUE	Wiley
su	2018	3250	10.1029/2018JC014320	TRUE	Wiley
su	2018	2400	10.1038/s41437-018-0181-z	TRUE	Nature Publishing Group
su	2018	3700	10.1038/s41467-018-03192-1	FALSE	Nature Publishing Group
su	2018	3700	10.1038/s41467-018-03938-x	FALSE	Nature Publishing Group
su	2018	3700	10.1038/s41467-018-04071-5	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-04330-5	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-04573-2	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-05615-5	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-05625-3	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-06013-7	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-06255-5	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-06702-3	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-07554-7	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-07617-9	FALSE	Nature Publishing Group
su	2018	3850	10.1038/s41467-018-07677-x	FALSE	Nature Publishing Group
su	2018	1560	10.1038/s41524-018-0104-9	FALSE	Nature Publishing Group
su	2018	1305	10.1038/s41598-017-17826-9	FALSE	Nature Publishing Group
su	2018	572.59	10.1038/s41598-017-18341-7	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-21327-8	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-21804-0	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-22842-4	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-24829-7	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-25162-9	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-25779-w	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-26213-x	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-27325-0	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-29217-9	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-29567-4	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-30179-1	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-32610-z	FALSE	Nature Publishing Group
su	2018	1370	10.1038/s41598-018-33208-1	FALSE	Nature Publishing Group
