"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"su",2019,197.75856000000002,"10.1515/bot-2018-0011",TRUE,"Walter de Gruyter","Botanica Marina","1437-4323","0006-8055","1437-4323",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/eplj-2018-0003",TRUE,"Walter de Gruyter","European Property Law Journal","2190-8362","2190-8273","2190-8362",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/infodaf-2018-0088",TRUE,"Walter de Gruyter","Informationen Deutsch als Fremdsprache","2511-0853","0724-9616","2511-0853",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/jelf-2018-0015",TRUE,"Walter de Gruyter","Journal of English as a Lingua Franca","2191-9216","2191-9216","2191-933X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/jelf-2018-0017",TRUE,"Walter de Gruyter","Journal of English as a Lingua Franca","2191-9216","2191-9216","2191-933X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/jelf-2018-0018",TRUE,"Walter de Gruyter","Journal of English as a Lingua Franca","2191-9216","2191-9216","2191-933X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/jelf-2018-0019",TRUE,"Walter de Gruyter","Journal of English as a Lingua Franca","2191-9216","2191-9216","2191-933X",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/ling-2018-0027",TRUE,"Walter de Gruyter","Linguistics","0024-3949","0024-3949","1613-396X",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/lingty-2018-0006",TRUE,"Walter de Gruyter","Linguistic Typology","1430-0532","1430-0532","1613-415X",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/lingty-2018-0017",TRUE,"Walter de Gruyter","Linguistic Typology","1613-415X",NA,"1613-415X",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/slaw-2018-0006",TRUE,"Walter de Gruyter","Zeitschrift für Slawistik","2196-7016","0044-3506","2196-7016",NA,"http://creativecommons.org/licenses/by/3.0",TRUE,NA,NA,NA,NA,FALSE
"su",2019,197.75856000000002,"10.1515/zna-2018-0217",TRUE,"Walter de Gruyter","Zeitschrift für Naturforschung A","1865-7109","0932-0784","1865-7109",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,NA,FALSE
