"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"su",2020,3181.2894899999997,"10.1002/marc.201900576",TRUE,"Wiley","Macromolecular Rapid Communications","1022-1336","1022-1336","1521-3927",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32167215",NA,NA,NA,FALSE
"su",2020,1249.5062699999999,"10.1063/5.0027835",FALSE,"AIP Publishing","AIP Advances","2158-3226",NA,"2158-3226",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"su",2020,3915.51174,"10.1021/acscatal.9b02478",TRUE,"American Chemical Society (ACS)","ACS Catalysis","2155-5435","2155-5435","2155-5435",NA,"http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,NA,NA,NA,NA,FALSE
"su",2020,3454.8633,"10.1021/acs.est.8b00865",TRUE,"American Chemical Society (ACS)","Environmental Science & Technology","0013-936X","0013-936X","1520-5851",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"30074385",NA,NA,NA,FALSE
"su",2020,3454.8633,"10.1021/acs.est.9b01751",TRUE,"American Chemical Society (ACS)","Environmental Science & Technology","0013-936X","0013-936X","1520-5851",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"31321968",NA,NA,NA,FALSE
"su",2020,2072.91798,"10.1021/jacs.8b03505",TRUE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126",NA,"http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"29890070",NA,NA,NA,FALSE
"su",2020,879.590862,"10.3390/microorganisms8060944",FALSE,"MDPI","Microorganisms","2076-2607",NA,"2076-2607",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32585961","PMC7356622",NA,NA,TRUE
"su",2020,1932.0027363636364,"10.3390/molecules25092172",FALSE,"MDPI","Molecules","1420-3049",NA,"1420-3049",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32384789","PMC7248853",NA,NA,TRUE
"su",2020,795.987072,"10.1080/16000870.2018.1565027",TRUE,"Taylor & Francis","Tellus A","1600-0870",NA,"1600-0870",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"su",2020,820.6785,"10.1039/d0ra08295c",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,NA,TRUE
