institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
su,2021,2051.24,10.1515/ejss-2020-2014,TRUE,De Gruyter,European Journal of Scandinavian Studies,,,,
su,2021,2051.24,10.1515/flin-2019-2012,TRUE,De Gruyter,Folia Linguistica,,,,
su,2021,2051.24,10.1515/flin-2020-2046,TRUE,De Gruyter,Folia Linguistica,,,,
su,2021,2051.24,10.1515/iral-2019.0095,TRUE,De Gruyter,Int Rev of Applied Linguistics in Language Teaching,,,,
su,2021,2051.24,10.1515/jiip-2020-0139,TRUE,De Gruyter,Journal of Inverse and Ill-posed Problems,,,,
su,2021,2051.24,10.1515/MC-2020-0002,TRUE,De Gruyter,Multimodal Communication,,,,
su,2021,2051.24,10.1515/MC-2020-0008,TRUE,De Gruyter,Multimodal Communication,,,,
su,2021,2031.28,10.1515/hsz-2020-0187,TRUE,De Gruyter,Biological Chemistry,,,,
su,2021,19197.75,10.3389/fenvs.2021.611686,FALSE,Frontiers Media,Environmental Science,,,,
su,2021,22595.38,10.3389/feart.2021.675131,FALSE,Frontiers Media,Fontiers in Earth Science,,,,
su,2021,21738.08,10.3389/fmicb.2020.589816,FALSE,Frontiers Media,Front. Microbiol.,,,,
su,2021,21738.08,10.3389/fphys.2020.576797,FALSE,Frontiers Media,Front. Physiol.,,,,
su,2021,21738.08,10.3389/fpsyt.2020.571954,FALSE,Frontiers Media,Front. Psychiatry,,,,
su,2021,13632.35,10.3389/fpsyt.2020.625380,FALSE,Frontiers Media,Front. Psychiatry,,,,
su,2021,21738.08,10.3389/fpsyg.2020.598303,FALSE,Frontiers Media,Front. Psychol,,,,
su,2021,22026.41,10.3389/fpubh.2021.681971,FALSE,Frontiers Media,Fronteris in Public Health,,,,
su,2021,8858.46,10.3389/frai.2021.723447,FALSE,Frontiers Media,Frontiers in Artificial Intelligence,,,,
su,2021,22777.25,10.3389/fnbeh.2021.666146,FALSE,Frontiers Media,Frontiers in Behavioral Neuroscience,,,,
su,2021,24051.65,10.3389/fbioe.2021.797334,FALSE,Frontiers Media,Frontiers in Bioengineering and Biotechnology,,,,
su,2021,9376.066949152544,10.3389/fceng.2021.790314,FALSE,Frontiers Media,Frontiers in Chemical Engineering,,,,
su,2021,22426.25,10.3389/fchem.2021.640155,FALSE,Frontiers Media,Frontiers in Chemistry,,,,
su,2021,22777.25,10.3389/fchem.2021.667803,FALSE,Frontiers Media,Frontiers in Chemistry,,,,
su,2021,22595.38,10.3389/fchem.2021.708538,FALSE,Frontiers Media,Frontiers in Chemistry,,,,
su,2021,8586.57,10.3389/fclim.2021.675499,FALSE,Frontiers Media,Frontiers in Climate,,,,
su,2021,7229.79,10.3389/fcomm.2021.627144,FALSE,Frontiers Media,Frontiers in Communication,,,,
su,2021,22426.25,10.3389/feart.2021.637973,FALSE,Frontiers Media,Frontiers in Earth Science,,,,
su,2021,19670.15593220339,10.3389/fevo.2021.714134,FALSE,Frontiers Media,Frontiers in Ecology and Evolution,,,,
su,2021,18929.28,10.3389/fevo.2021.607600,FALSE,Frontiers Media,Frontiers in Ecology and Evolution,,,,
su,2021,7229.79,10.3389/feduc.2021.663846,FALSE,Frontiers Media,Frontiers in Education,,,,
su,2021,5226.61,10.3389/feduc.2021.681873,FALSE,Frontiers Media,Frontiers in Education,,,,
su,2021,19225.54,10.3389/fenvs.2021.624658,FALSE,Frontiers Media,Frontiers in Environmental Science,,,,
su,2021,22777.25,10.3389/fmars.2021.640528,FALSE,Frontiers Media,Frontiers in Environmental Science,,,,
su,2021,18911.57,10.3389/fenvs.2021.553822,FALSE,Frontiers Media,Frontiers in Environmental Science,,,,
su,2021,8586.57,10.3389/ffgc.2021.686945,FALSE,Frontiers Media,Frontiers in Forests and Global Change,,,,
su,2021,15009.355932203389,10.3389/ffunb.2021.742894,FALSE,Frontiers Media,Frontiers in Fungal Biology,,,,
su,2021,22777.25,10.3389/fnhum.2021.622904,FALSE,Frontiers Media,Frontiers in Human Neuroscience,,,,
su,2021,23304,10.3389/fmars.2021.745722,FALSE,Frontiers Media,Frontiers in Marine Science,,,,
su,2021,23304,10.3389/fmars.2021.755443,FALSE,Frontiers Media,Frontiers in Marine Science,,,,
su,2021,22744.32,10.3389/fmars.2021.657459,FALSE,Frontiers Media,Frontiers in Marine Science,,,,
su,2021,22026.41,10.3389/fmars.2021.671837,FALSE,Frontiers Media,Frontiers in Marine Science,,,,
su,2021,22744.32,10.3389/fmars.2021.683331,FALSE,Frontiers Media,Frontiers in Marine Science,,,,
su,2021,22777.25,10.3389/fmats.2021.635987,FALSE,Frontiers Media,Frontiers in Materials,,,,
su,2021,22026.41,10.3389/fmicb.2021.632947,FALSE,Frontiers Media,Frontiers in Microbiology,,,,
su,2021,22026.41,10.3389/fmicb.2021.690712,FALSE,Frontiers Media,Frontiers in Microbiology,,,,
su,2021,22595.38,10.3389/fmicb.2021.697232,FALSE,Frontiers Media,Frontiers in Microbiology,,,,
su,2021,24051.65,10.3389/fmolb.2021.765970,FALSE,Frontiers Media,Frontiers in Molecular Biosciences,,,,
su,2021,15143.42,10.3389/fmolb.2021.645527,FALSE,Frontiers Media,Frontiers in Molecular Biosciences,,,,
su,2021,19225.54,10.3389/fmolb.2021.647884,FALSE,Frontiers Media,Frontiers in Molecular Biosciences,,,,
su,2021,14079.07,10.3389/fmolb.2021.682967,FALSE,Frontiers Media,Frontiers in Molecular Biosciences,,,,
su,2021,15964.21,10.3389/fmolb.2021.682967,FALSE,Frontiers Media,Frontiers in Molecular Biosciences,,,,
su,2021,22595.38,10.3389/fnmol.2021.699562,FALSE,Frontiers Media,Frontiers in Molecular neurosciences,,,,
su,2021,22815.21,10.3389/fphys.2021.746367,FALSE,Frontiers Media,Frontiers in Physiology,,,,
su,2021,23304,10.3389/fpls.2021.754601,FALSE,Frontiers Media,Frontiers in Plant Science,,,,
su,2021,22595.38,10.3389/fpls.2021.688067,FALSE,Frontiers Media,Frontiers in Plant Science,,,,
su,2021,3466.35,10.3389/fpsyt.2021.781083,FALSE,Frontiers Media,Frontiers in Psychiatry,,,,
su,2021,24051.65,10.3389/fpsyt.2021.783066,FALSE,Frontiers Media,Frontiers in Psychiatry,,,,
su,2021,22405.28,10.3389/fpsyt.2021.620359,FALSE,Frontiers Media,Frontiers in Psychiatry,,,,
su,2021,23304,10.3389/fpsyg.2021.674202,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,23304,10.3389/fpsyg.2021.676271,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,14614.372881355932,10.3389/fpsyg.2021.712518,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,2655,10.3389/fpsyg.2021.772537,FALSE,Frontiers Media,Frontiers in Psychology,,,,
su,2021,22426.25,10.3389/fpsyg.2021.576943,FALSE,Frontiers Media,Frontiers in Psychology,,,,
