institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
su	2017	1244	10.1002/2016EF000434	FALSE	Wiley	Earth's Future				
su	2017	2457	10.1002/2016GL071772	TRUE	Wiley	Geophysical Research Letters				
su	2017	3750	10.1002/2016WR019954	TRUE	Wiley	Water Resources Research				
su	2017	3000	10.1002/2017GB005656	TRUE	Wiley	Global Biogeochemical Cycles				
su	2017	2937	10.1002/2017GL073056	TRUE	Wiley	Geophysical Research Letters				
su	2017	2000	10.1002/2017GL074786	TRUE	Wiley	Geophysical Research Letters				
su	2017	1571	10.1002/2017MS000930	FALSE	Wiley	Journal of Advances in Modeling Earth Systems				
su	2017	1083	10.1002/2211-5463.12212	FALSE	Wiley	FEBS Open Bio				
su	2017	3500	10.1002/ajpa.23308	TRUE	Wiley	American Journal of Physical Anthropology				
su	2017	1542	10.1002/aqc.2771	TRUE	Wiley	Aquatic Conservation: Marine and Freshwater Ecosystems				
su	2017	771	10.1002/aqc.2772	TRUE	Wiley	Aquatic Conservation: Marine and Freshwater Ecosystems				
su	2017	771	10.1002/aqc.2773	TRUE	Wiley	Aquatic Conservation: Marine and Freshwater Ecosystems				
su	2017	3000	10.1002/chem.201703057	TRUE	Wiley	Chemistry - A European Journal				
su	2017	2500	10.1002/cssc.201700436	TRUE	Wiley	ChemSusChem				
su	2017	1224	10.1002/ece3.2826	TRUE	Wiley	Ecology and Evolution				
su	2017	1224	10.1002/ece3.2965	FALSE	Wiley	Ecology and Evolution				
su	2017	1224	10.1002/ece3.3173	FALSE	Wiley	Ecology and Evolution				
su	2017	1224	10.1002/ece3.3350	FALSE	Wiley	Ecology and Evolution				
su	2017	1203	10.1002/ecs2.1714	FALSE	Wiley	Ecosphere				
su	2017	1203	10.1002/ecs2.1741	FALSE	Wiley	Ecosphere				
su	2017	1203	10.1002/ecs2.1922	FALSE	Wiley	Ecosphere				
su	2017	3734	10.1002/ecy.1949	TRUE	Wiley	Ecology				
su	2017	2385	10.1002/eet.1781	TRUE	Wiley	Environmental Policy and Governance				
su	2017	2500	10.1002/etc.3649	TRUE	Wiley	Environmental Toxicology and Chemistry 				
su	2017	3417	10.1002/jat.3510	TRUE	Wiley	Journal of Applied Toxicology				
