institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
BTH Blekinge Institute of Technology,2024,31036,10.1109/ms.2023.3346646,TRUE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Software,0740-7459,0740-7459,1937-4194,0740-7459,https://creativecommons.org/licenses/by/4.0/legalcode,TRUE,NA,NA,NA,NA,FALSE
BTH Blekinge Institute of Technology,2024,11620,10.3390/ai5010012,FALSE,MDPI AG,AI,2673-2688,NA,2673-2688,2673-2688,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,31421.94,10.1080/00927872.2024.2315311,TRUE,Informa UK Limited,Communications in Algebra,0092-7872,0092-7872,1532-4125,0092-7872,http://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,FALSE
BTH Blekinge Institute of Technology,2024,20665.94,10.1109/access.2024.3357939,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,21094.97,10.1109/access.2024.3380167,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,21568,10.2196/50297,FALSE,JMIR Publications Inc.,JMIR Medical Education,2369-3762,NA,2369-3762,2369-3762,NA,TRUE,38683660,PMC11091804,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,29154.97,10.3390/app14072748,FALSE,MDPI AG,Applied Sciences,2076-3417,NA,2076-3417,2076-3417,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,30334.97,10.3390/s24123941,FALSE,MDPI AG,Sensors,1424-8220,NA,1424-8220,1424-8220,https://creativecommons.org/licenses/by/4.0/,TRUE,38931724,PMC11207267,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,21021.94,10.1109/access.2024.3427416,FALSE,Institute of Electrical & Electronics Engineers (IEEE),IEEE Access,2169-3536,NA,2169-3536,2169-3536,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,TRUE
BTH Blekinge Institute of Technology,2024,21106.97,10.3390/educsci14070775,FALSE,MDPI AG,Education Sciences,2227-7102,NA,2227-7102,2227-7102,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
