institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
ki,2021,16217.76,10.1097/PR9.0000000000000914,FALSE,,,,,,
ki,2021,25004.7,10.1001/jamanetworkopen.2021.0837,FALSE,,,,,,
ki,2021,24804,10.1001/jamanetworkopen.2021.1129,FALSE,,,,,,
ki,2021,24831.9,10.1001/jamanetworkopen.2021.5245,FALSE,,,,,,
ki,2021,25577.7,10.1001/jamanetworkopen.2021.7269,FALSE,,,,,,
ki,2021,42509,10.1001/jamasurg.2021.1438,TRUE,,,,,,
ki,2021,15232.95,10.1002/stem.3168,TRUE,,,,,,
ki,2021,26137.72,10.1016/j.exer.2021.108518,TRUE,,,,,,
ki,2021,30085.19,10.1016/j.jacbts.2021.02.005,FALSE,,,,,,
ki,2021,22272.96,10.1016/j.mcpro.2021.100065,FALSE,,,,,,
ki,2021,36207.4,10.1038/s41380-021-01040-1,TRUE,,,,,,
ki,2021,17621.06,10.1073/pnas.1921123118,TRUE,,,,,,
ki,2021,45562.17,10.1073/pnas.2009192117,TRUE,,,,,,
ki,2021,51157,10.1073/pnas.2016580118,TRUE,,,,,,
ki,2021,42776.73,10.1073/pnas.2017089118,TRUE,,,,,,
ki,2021,33566.31,10.1073/pnas.2018587118,TRUE,,,,,,
ki,2021,15214.65,10.1080/02813432.2021.1882079,FALSE,,,,,,
ki,2021,22323.43,10.1080/21505594.2021.1871822,FALSE,,,,,,
ki,2021,35704.59,10.1093/gerona/glab061,TRUE,,,,,,
ki,2021,32270.72,10.1093/nar/gkab054,FALSE,,,,,,
ki,2021,28801.64,10.1097/EDE.0000000000001321,TRUE,,,,,,
ki,2021,34148.08,10.1097/j.pain.0000000000002169,FALSE,,,,,,
ki,2021,32427.09,10.1126/sciadv.abc2931,FALSE,,,,,,
ki,2021,37169.55,10.1126/sciadv.abf0717,FALSE,,,,,,
ki,2021,14738.58,10.1126/scitranslmed.abb0192,TRUE,,,,,,
ki,2021,32031.58,10.1128/mSystems.01302-20,FALSE,,,,,,
ki,2021,14782.25,10.5334/ijic.5505,FALSE,,,,,,
ki,2021,21186.19,10.1136/bmjopen-2020-044702,FALSE,,,,,,
ki,2021,27101.59,10.1136/rmdopen-2020-001379,FALSE,,,,,,
ki,2021,15522.43,10.1167/tvst.10.1.21,FALSE,,,,,,
ki,2021,15522.43,10.1167/tvst.10.1.22,FALSE,,,,,,
ki,2021,38637.32,10.1172/JCI144734,TRUE,,,,,,
ki,2021,31898.48,10.1183/13993003.03468-2020,TRUE,,,,,,
ki,2021,7610.48,10.1183/23120541.00917-2020,FALSE,,,,,,
ki,2021,33383.77,10.1186/s13195-021-00799-3,FALSE,,,,,,
ki,2021,29567.3,10.1200/JCO.20.02598,TRUE,,,,,,
ki,2021,27140.16,10.1212/NXG.0000000000000546,FALSE,,,,,,
ki,2021,27714.72,10.1212/NXG.0000000000000566,FALSE,,,,,,
ki,2021,29329.59,10.1212/NXI.0000000000000912,FALSE,,,,,,
ki,2021,28338.66,10.1212/WNL.0000000000011545,TRUE,,,,,,
ki,2021,30833.25,10.1242/dmm.046300,FALSE,,,,,,
ki,2021,14281.73,10.1371/journal.pone.0243427,FALSE,,,,,,
ki,2021,14022.4,10.1371/journal.pone.0243948,FALSE,,,,,,
ki,2021,14281.73,10.1371/journal.pone.0245246,FALSE,,,,,,
ki,2021,14136.81,10.1371/journal.pone.0245902,FALSE,,,,,,
ki,2021,14607,10.1371/journal.pone.0248809,FALSE,,,,,,
ki,2021,12898.08,10.1523/JNEUROSCI.1848-20.2021,TRUE,,,,,,
ki,2021,13108.21,10.1523/JNEUROSCI.2250-20.2021,TRUE,,,,,,
ki,2021,7770.03,10.16966/2378-7090.349,FALSE,,,,,,
ki,2021,20855.5,10.2147/COPD.S283372,FALSE,,,,,,
ki,2021,15880.01,10.2196/18385,FALSE,,,,,,
ki,2021,20911,10.2196/24466,FALSE,,,,,,
ki,2021,24565.8,10.2217/pgs-2020-0106,TRUE,,,,,,
ki,2021,16066.02,10.2340/00015555-3770,FALSE,,,,,,
ki,2021,24932.1,10.26508/lsa.202000723,FALSE,,,,,,
ki,2021,18458.28,10.3233/JAD-200976,TRUE,,,,,,
ki,2021,24655.09,10.3233/JAD-201344,TRUE,,,,,,
ki,2021,16326.3,10.3324/haematol.2019.234716,FALSE,,,,,,
ki,2021,15654.15,10.3389%2Ffneur.2021.652590,FALSE,,,,,,
ki,2021,13255.23,10.3390/antibiotics10040371,FALSE,,,,,,
ki,2021,15055.62,10.3390/antiox10020163,FALSE,,,,,,
ki,2021,18742.57,10.3390/app11031250,FALSE,,,,,,
ki,2021,10233.46,10.3390/cancers13020298,FALSE,,,,,,
ki,2021,20466.92,10.3390/cancers13020302,FALSE,,,,,,
ki,2021,20405.72,10.3390/cancers13051010,FALSE,,,,,,
ki,2021,10187.02,10.3390/cancers13051143,FALSE,,,,,,
ki,2021,18429.12,10.3390/cancers13051166,FALSE,,,,,,
ki,2021,18213.59,10.3390/cancers13071588,FALSE,,,,,,https://gh.bmj.com/content/5/12/e003762
ki,2021,16882.24,10.3390/cells10020241,FALSE,,,,,,https://academic.oup.com/bjsopen/advance-article/doi/10.1093/bjsopen/zraa017/6043682?searchresult=1
ki,2021,18892.73,10.3390/cells10020295,FALSE,,,,,,
ki,2021,14806.26,10.3390/cells10040852,FALSE,,,,,,
ki,2021,8441.07,10.3390/children8020080,FALSE,,,,,,
ki,2021,11900.38,10.3390/diagnostics11020336,FALSE,,,,,,
ki,2021,21450.43,10.3390/ijerph18041941,FALSE,,,,,,
ki,2021,16945.01,10.3390/ijms21239010,FALSE,,,,,,
ki,2021,13059.46,10.3390/ijms22020801,FALSE,,,,,,
ki,2021,16959.79,10.3390/ijms22031025,FALSE,,,,,,
ki,2021,16937.56,10.3390/ijms22031217,FALSE,,,,,,
ki,2021,16821.42,10.3390/ijms22041793,FALSE,,,,,,
ki,2021,16562.88,10.3390/ijms22073664,FALSE,,,,,,
ki,2021,10527.71,10.3390/microorganisms9020322,FALSE,,,,,,
ki,2021,14864.19,10.3390/microorganisms9030493,FALSE,,,,,,
ki,2021,16649.42,10.3390/molecules26010143,FALSE,,,,,,
ki,2021,20003.7,10.3390/nu13030880,FALSE,,,,,,
