institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
uu	2018	1687.291234022639		TRUE	American Chemical Society (ACS)					
uu	2018	947.8818723371064		FALSE	e-Century Publishing					
uu	2018	284.4716136769136		FALSE	Graphy Publications					
uu	2018	412.98468318270005		FALSE	MDPI					
uu	2018	647.0268214922928		FALSE	Open Access Pub					
uu	2018	1231.240067468094		FALSE	PLOS					
uu	2018	1412.0604092934375		FALSE	PLOS					
uu	2018	1292.2548188013689		FALSE	Springer Nature					
uu	2018	1357.165560072928		FALSE	Springer Nature					
uu	2018	1377.9080990962007		FALSE	Springer Nature					
uu	2018	3661.8298283073505		FALSE	Springer Nature					
