institution	period	euro	doi	is_hybrid	publisher
uu	2020	1105.52382	10.1128/jvi.01869-20	TRUE	
uu	2020	1690.0310339999999	10.1002/brb3.1662	FALSE	
uu	2020	3728.48481	10.1002/jcc.26198	TRUE	
uu	2020	3254.34681	10.1002/path.5380	TRUE	
uu	2020	6375.257640000001	10.1002/pds.4958	TRUE	
uu	2020	1661.043744	10.1016/j.addma.2020.101124	TRUE	
uu	2020	2242.40562	10.1016/j.alcohol.2019.12.005	TRUE	
uu	2020	725.8509	10.1016/j.case.2019.10.003	FALSE	
uu	2020	2457.820728	10.1016/j.cellsig.2020.109661	TRUE	
uu	2020	4488.214158	10.1016/j.celrep.2020.107897	FALSE	
uu	2020	2567.134818	10.1016/j.cmi.2020.02.032	TRUE	
uu	2020	1693.137258	10.1016/j.conctc.2020.100572	FALSE	
uu	2020	2326.1420160000002	10.1016/j.csbj.2020.03.014	TRUE	
uu	2020	2856.177738	10.1016/j.ecoser.2020.101141	TRUE	
uu	2020	1378.970748	10.1016/j.ejpb.2020.01.010	TRUE	
uu	2020	1716.2459999999999	10.1016/j.epidem.2020.100399	FALSE	
uu	2020	2553.855138	10.1016/j.erss.2020.101424	TRUE	
uu	2020	2551.156272	10.1016/j.erss.2020.101552	TRUE	
uu	2020	2182.274046	10.1016/j.eurox.2020.100117	FALSE	
uu	2020	1722.1732020000002	10.1016/j.fusengdes.2020.111943	TRUE	
uu	2020	20225.00034	10.1016/j.gerinurse.2020.04.012	TRUE	
uu	2020	2688.814656	10.1016/j.ijantimicag.2020.105941	TRUE	
uu	2020	2688.814656	10.1016/j.ijbiomac.2019.12.147	TRUE	
uu	2020	6097.9203	10.1016/j.ijggc.2020.103058	TRUE	
uu	2020	3061.08549	10.1016/j.ijggc.2020.103129	TRUE	
uu	2020	2377.368	10.1016/j.ijporl.2020.109981	TRUE	
uu	2020	2688.814656	10.1016/j.isci.2019.100808	FALSE	
uu	2020	3135.219876	10.1016/j.jcis.2020.03.086	TRUE	
uu	2020	951.008256	10.1016/j.jeap.2020.100850	TRUE	
uu	2020	2787.717744	10.1016/j.jhazmat.2019.121967	TRUE	
uu	2020	2626.525134	10.1016/j.jmbbm.2020.103701	TRUE	
uu	2020	2636.9065619999997	10.1016/j.jmmm.2020.166622	TRUE	
uu	2020	2533.091328	10.1016/j.jmmm.2020.166792	TRUE	
uu	2020	2161.651428	10.1016/j.jpedsurg.2020.02.024	TRUE	
uu	2020	1618.896978	10.1016/j.labeco.2020.101911	TRUE	
uu	2020	1711.634364	10.1016/j.matdes.2020.108852	FALSE	
uu	2020	2820.959874	10.1016/j.midw.2019.102568	TRUE	
uu	2020	2175.355638	10.1016/j.nbd.2020.104738	FALSE	
uu	2020	2293.232832	10.1016/j.nima.2020.163979	TRUE	
uu	2020	2434.2378479999998	10.1016/j.oceaneng.2020.107287	TRUE	
uu	2020	1800.529992	10.1016/j.phro.2019.11.004	FALSE	
uu	2020	1102.190544	10.1016/j.resourpol.2020.101760	TRUE	
uu	2020	3405.139866	10.1016/j.semcdb.2020.01.008	TRUE	
uu	2020	2167.175088	10.1016/j.srhc.2020.100533	TRUE	
uu	2020	4645.623204	10.1016/j.stem.2019.10.005	TRUE	
uu	2020	3405.201876	10.1016/j.ympev.2020.106757	TRUE	
uu	2020	4490.353026	10.1016/s2214-109x(20)30079-6	FALSE	
uu	2020	4437.419382	10.1016/s2214-109x(20)30345-4	FALSE	
uu	2020	3847.5993420000004	10.1021/acs.jcim.9b00994	TRUE	
uu	2020	7384.11264	10.1021/acs.jpcb.0c00030	TRUE	
uu	2020	206.38836	10.1021/acsomega.0c02804	FALSE	
uu	2020	2774.4228	10.1037/ccp0000506	TRUE	
uu	2020	4370.516316	10.1038/s41388-020-1299-z	TRUE	
uu	2020	3084.527178	10.1038/s41397-020-0165-2	TRUE	
uu	2020	4470.4354140000005	10.1038/s41417-020-0176-9	TRUE	
uu	2020	2470.648212	10.1038/s41423-020-0421-z	TRUE	
uu	2020	2595.846402	10.1038/s41429-020-0300-y	TRUE	
uu	2020	2827.060704	10.1038/s41431-020-0698-5	TRUE	
uu	2020	2439.45432	10.1038/s41437-020-0322-z	TRUE	
uu	2020	1565.7620399999998	10.1038/s41598-020-67670-7	FALSE	
uu	2020	1552.44897	10.1038/s41598-020-72355-2	FALSE	
uu	2020	2573.436942	10.1038/s42004-020-0257-6	FALSE	
uu	2020	1828.077696	10.1039/d0an00150c	TRUE	
