"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"uu",2020,1105.52382,"10.1128/jvi.01869-20",TRUE,"American Society for Microbiology","Journal of Virology","0022-538X","0022-538X","1098-5514",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33239457",NA,NA,NA,FALSE
"uu",2020,1690.0310339999999,"10.1002/brb3.1662",FALSE,"Wiley-Blackwell","Brain and Behavior","2162-3279","2162-3279","2162-3279",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32436327","PMC7375085",NA,NA,TRUE
"uu",2020,3728.48481,"10.1002/jcc.26198",TRUE,"Wiley-Blackwell","Journal of Computational Chemistry","0192-8651","0192-8651","1096-987X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32282082","PMC7384070",NA,NA,FALSE
"uu",2020,3254.34681,"10.1002/path.5380",TRUE,"Wiley-Blackwell","The Journal of Pathology","0022-3417","0022-3417","1096-9896",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31880322","PMC7155095",NA,NA,FALSE
"uu",2020,6375.257640000001,"10.1002/pds.4958",TRUE,"Wiley-Blackwell","Pharmacoepidemiology and Drug Safety","1053-8569","1053-8569","1099-1557",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32067283","PMC7318275",NA,NA,FALSE
"uu",2020,1661.043744,"10.1016/j.addma.2020.101124",TRUE,"Elsevier BV","Additive Manufacturing","2214-8604","2214-8604",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2242.40562,"10.1016/j.alcohol.2019.12.005",TRUE,"Elsevier BV","Alcohol","0741-8329","0741-8329",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31978460",NA,NA,NA,FALSE
"uu",2020,725.8509,"10.1016/j.case.2019.10.003",FALSE,"Elsevier BV","CASE","2468-6441","2468-6441",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32099941","PMC7026534",NA,NA,FALSE
"uu",2020,2457.820728,"10.1016/j.cellsig.2020.109661",TRUE,"Elsevier BV","Cellular Signalling","0898-6568","0898-6568",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32334027",NA,NA,NA,FALSE
"uu",2020,4488.214158,"10.1016/j.celrep.2020.107897",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32668248",NA,NA,NA,TRUE
"uu",2020,2567.134818,"10.1016/j.cmi.2020.02.032",TRUE,"Elsevier BV","Clinical Microbiology and Infection","1198-743X","1198-743X",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32120032",NA,NA,NA,FALSE
"uu",2020,1693.137258,"10.1016/j.conctc.2020.100572",FALSE,"Elsevier BV","Contemporary Clinical Trials Communications","2451-8654","2451-8654",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32420511","PMC7214762",NA,NA,TRUE
"uu",2020,2326.1420160000002,"10.1016/j.csbj.2020.03.014",TRUE,"Elsevier BV","Computational and Structural Biotechnology Journal","2001-0370","2001-0370",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32322370","PMC7163211",NA,NA,TRUE
"uu",2020,2856.177738,"10.1016/j.ecoser.2020.101141",TRUE,"Elsevier BV","Ecosystem Services","2212-0416","2212-0416",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,1378.970748,"10.1016/j.ejpb.2020.01.010",TRUE,"Elsevier BV","European Journal of Pharmaceutics and Biopharmaceutics","0939-6411","0939-6411",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31982572",NA,NA,NA,FALSE
"uu",2020,1716.2459999999999,"10.1016/j.epidem.2020.100399",FALSE,"Elsevier BV","Epidemics","1755-4365","1755-4365",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32799071",NA,NA,NA,TRUE
"uu",2020,2553.855138,"10.1016/j.erss.2020.101424",TRUE,"Elsevier BV","Energy Research & Social Science","2214-6296","2214-6296",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2551.156272,"10.1016/j.erss.2020.101552",TRUE,"Elsevier BV","Energy Research & Social Science","2214-6296","2214-6296",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2182.274046,"10.1016/j.eurox.2020.100117",FALSE,"Elsevier BV","European Journal of Obstetrics & Gynecology and Reproductive Biology: X","2590-1613","2590-1613",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33073232","PMC7549059",NA,NA,TRUE
"uu",2020,1722.1732020000002,"10.1016/j.fusengdes.2020.111943",TRUE,"Elsevier BV","Fusion Engineering and Design","0920-3796","0920-3796",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,20225.00034,"10.1016/j.gerinurse.2020.04.012",TRUE,"Elsevier BV","Geriatric Nursing","0197-4572","0197-4572",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32522423",NA,NA,NA,FALSE
"uu",2020,2688.814656,"10.1016/j.ijantimicag.2020.105941",TRUE,"Elsevier BV","International Journal of Antimicrobial Agents","0924-8579","0924-8579",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32171741",NA,NA,NA,FALSE
"uu",2020,2688.814656,"10.1016/j.ijbiomac.2019.12.147",TRUE,"Elsevier BV","International Journal of Biological Macromolecules","0141-8130","0141-8130",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31863835",NA,NA,NA,FALSE
"uu",2020,6097.9203,"10.1016/j.ijggc.2020.103058",TRUE,"Elsevier BV","International Journal of Greenhouse Gas Control","1750-5836","1750-5836",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,3061.08549,"10.1016/j.ijggc.2020.103129",TRUE,"Elsevier BV","International Journal of Greenhouse Gas Control","1750-5836","1750-5836",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2377.368,"10.1016/j.ijporl.2020.109981",TRUE,"Elsevier BV","International Journal of Pediatric Otorhinolaryngology","0165-5876","0165-5876",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32247932",NA,NA,NA,FALSE
"uu",2020,2688.814656,"10.1016/j.isci.2019.100808",FALSE,"Elsevier BV","iScience","2589-0042","2589-0042",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31928966","PMC7033636",NA,NA,TRUE
"uu",2020,3135.219876,"10.1016/j.jcis.2020.03.086",TRUE,"Elsevier BV","Journal of Colloid and Interface Science","0021-9797","0021-9797",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32272315",NA,NA,NA,FALSE
"uu",2020,951.008256,"10.1016/j.jeap.2020.100850",TRUE,"Elsevier BV","Journal of English for Academic Purposes","1475-1585","1475-1585",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2787.717744,"10.1016/j.jhazmat.2019.121967",TRUE,"Elsevier BV","Journal of Hazardous Materials","0304-3894","0304-3894",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31901845",NA,NA,NA,FALSE
"uu",2020,2626.525134,"10.1016/j.jmbbm.2020.103701",TRUE,"Elsevier BV","Journal of the Mechanical Behavior of Biomedical Materials","1751-6161","1751-6161",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32174441",NA,NA,NA,FALSE
"uu",2020,2636.9065619999997,"10.1016/j.jmmm.2020.166622",TRUE,"Elsevier BV","Journal of Magnetism and Magnetic Materials","0304-8853","0304-8853",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2533.091328,"10.1016/j.jmmm.2020.166792",TRUE,"Elsevier BV","Journal of Magnetism and Magnetic Materials","0304-8853","0304-8853",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2161.651428,"10.1016/j.jpedsurg.2020.02.024",TRUE,"Elsevier BV","Journal of Pediatric Surgery","0022-3468","0022-3468",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32192735",NA,NA,NA,FALSE
"uu",2020,1618.896978,"10.1016/j.labeco.2020.101911",TRUE,"Elsevier BV","Labour Economics","0927-5371","0927-5371",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,1711.634364,"10.1016/j.matdes.2020.108852",FALSE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"uu",2020,2820.959874,"10.1016/j.midw.2019.102568",TRUE,"Elsevier BV","Midwifery","0266-6138","0266-6138",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31698295",NA,NA,NA,FALSE
"uu",2020,2175.355638,"10.1016/j.nbd.2020.104738",FALSE,"Elsevier BV","Neurobiology of Disease","0969-9961","0969-9961",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31927144",NA,NA,NA,TRUE
"uu",2020,2293.232832,"10.1016/j.nima.2020.163979",TRUE,"Elsevier BV","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","0168-9002",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,2434.2378479999998,"10.1016/j.oceaneng.2020.107287",TRUE,"Elsevier BV","Ocean Engineering","0029-8018","0029-8018",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"uu",2020,1800.529992,"10.1016/j.phro.2019.11.004",FALSE,"Elsevier BV","Physics and Imaging in Radiation Oncology","2405-6316","2405-6316",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33458296","PMC7807941",NA,NA,TRUE
"uu",2020,1102.190544,"10.1016/j.resourpol.2020.101760",TRUE,"Elsevier BV","Resources Policy","0301-4207","0301-4207",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"uu",2020,3405.139866,"10.1016/j.semcdb.2020.01.008",TRUE,"Elsevier BV","Seminars in Cell & Developmental Biology","1084-9521","1084-9521",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32085965",NA,NA,NA,FALSE
"uu",2020,2167.175088,"10.1016/j.srhc.2020.100533",TRUE,"Elsevier BV","Sexual & Reproductive Healthcare","1877-5756","1877-5756",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32505920",NA,NA,NA,FALSE
"uu",2020,4645.623204,"10.1016/j.stem.2019.10.005",TRUE,"Elsevier BV","Cell Stem Cell","1934-5909","1934-5909",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31786016","PMC6900751",NA,NA,FALSE
"uu",2020,3405.201876,"10.1016/j.ympev.2020.106757",TRUE,"Elsevier BV","Molecular Phylogenetics and Evolution","1055-7903","1055-7903",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32028027",NA,NA,NA,FALSE
"uu",2020,4490.353026,"10.1016/s2214-109x(20)30079-6",FALSE,"Elsevier BV","The Lancet Global Health","2214-109X","2214-109X",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"uu",2020,4437.419382,"10.1016/s2214-109x(20)30345-4",FALSE,"Elsevier BV","The Lancet Global Health","2214-109X","2214-109X",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"uu",2020,3847.5993420000004,"10.1021/acs.jcim.9b00994",TRUE,"American Chemical Society (ACS)","Journal of Chemical Information and Modeling","1549-9596","1549-9596","1549-960X",NA,"http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"31935100",NA,NA,NA,FALSE
"uu",2020,7384.11264,"10.1021/acs.jpcb.0c00030",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry B","1520-6106","1520-6106","1520-5207",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"32105083",NA,NA,NA,FALSE
"uu",2020,206.38836,"10.1021/acsomega.0c02804",FALSE,"American Chemical Society (ACS)","ACS Omega","2470-1343","2470-1343","2470-1343",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"32984695","PMC7513353",NA,NA,TRUE
"uu",2020,2774.4228,"10.1037/ccp0000506",TRUE,"American Psychological Association (APA)","Journal of Consulting and Clinical Psychology","1939-2117","0022-006X","1939-2117",NA,"http://www.apa.org/pubs/journals/resources/open-access.aspx",TRUE,"32551736",NA,NA,NA,FALSE
"uu",2020,4370.516316,"10.1038/s41388-020-1299-z",TRUE,"Springer Nature","Oncogene","0950-9232","0950-9232","1476-5594",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32350443","PMC7253358",NA,NA,FALSE
"uu",2020,3084.527178,"10.1038/s41397-020-0165-2",TRUE,"Springer Nature","The Pharmacogenomics Journal","1470-269X","1470-269X","1473-1150",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32080354","PMC7674154",NA,NA,FALSE
"uu",2020,4470.4354140000005,"10.1038/s41417-020-0176-9",TRUE,"Springer Nature","Cancer Gene Therapy","0929-1903","0929-1903","1476-5500",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32355275","PMC7725669",NA,NA,FALSE
"uu",2020,2470.648212,"10.1038/s41423-020-0421-z",TRUE,"Springer Nature","Cellular & Molecular Immunology","1672-7681","1672-7681","2042-0226",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32313211",NA,NA,NA,FALSE
"uu",2020,2595.846402,"10.1038/s41429-020-0300-y",TRUE,"Springer Nature","The Journal of Antibiotics","0021-8820","0021-8820","1881-1469",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32203126","PMC7292800",NA,NA,FALSE
"uu",2020,2827.060704,"10.1038/s41431-020-0698-5",TRUE,"Springer Nature","European Journal of Human Genetics","1018-4813","1018-4813","1476-5438",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32724065","PMC7852530",NA,NA,FALSE
"uu",2020,2439.45432,"10.1038/s41437-020-0322-z",TRUE,"Springer Nature","Heredity","0018-067X","0018-067X","1365-2540",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32451423","PMC7413267",NA,NA,FALSE
"uu",2020,1565.7620399999998,"10.1038/s41598-020-67670-7",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32606315","PMC7327066",NA,NA,TRUE
"uu",2020,1552.44897,"10.1038/s41598-020-72355-2",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"33184307","PMC7661699",NA,NA,TRUE
"uu",2020,2573.436942,"10.1038/s42004-020-0257-6",FALSE,"Springer Nature","Communications Chemistry","2399-3669",NA,"2399-3669",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
