institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
uu,2021,21829.94,10.3389/fgene.2021.618277,FALSE,,,,,,
uu,2021,21883.04,10.3389/fimmu.2021.599526,FALSE,,,,,,
uu,2021,22112.96,10.3389/fimmu.2021.627579,FALSE,,,,,,
uu,2021,18408.47,10.3389/fmed.2021.628029,FALSE,,,,,,
uu,2021,1386.87,10.3389/fneur.2021.638132,FALSE,,,,,,
uu,2021,21934.28,10.3389/fphys.2020.618640,FALSE,,,,,,
uu,2021,22081.1,10.3389/fncel.2021.642211,FALSE,,,,,,
uu,2021,22428.91,10.3389/fnsys.2021.643526,FALSE,,,,,,
uu,2021,22044.47,10.3389/fped.2021.648372,FALSE,,,,,,
uu,2021,1191.93,10.3389/fsufs.2021.599476,FALSE,,,,,,
uu,2021,22510.68,10.3389/fimmu.2021.655753,FALSE,,,,,,
uu,2021,45438.74,10.3389/fmicb.2021.643045,FALSE,,,,,,
uu,2021,22552.9,10.3389/fmicb.2021.651461,FALSE,,,,,,
uu,2021,19172.65,10.3389/fmolb.2021.625274,FALSE,,,,,,
uu,2021,14258.89,10.3389/fnbeh.2021.667244,FALSE,,,,,,
uu,2021,22008.36,10.3389/fpsyg.2021.596231,FALSE,,,,,,
uu,2021,14469.51,10.3389/frobt.2021.645956,FALSE,,,,,,
uu,2021,22766.36,10.3389/fchem.2021.662659,FALSE,,,,,,
uu,2021,22227.39,10.3389/fendo.2021.606175,FALSE,,,,,,
uu,2021,22416.17,10.3389/fimmu.2021.685312,FALSE,,,,,,
uu,2021,19522.7,10.3389/fmed.2021.672370,FALSE,,,,,,
uu,2021,23269.5,10.3389/fmicb.2021.664665,FALSE,,,,,,
uu,2021,19326.83,10.3389/fmolb.2021.671865,FALSE,,,,,,
uu,2021,23145.82,10.3389/fnana.2021.666109,FALSE,,,,,,
uu,2021,18930.4,10.3389/fsurg.2021.662530,FALSE,,,,,,
uu,2021,22571.75,10.3389/fneur.2021.615017,FALSE,,,,,,
uu,2021,18689.65,10.3389/fphar.2021.681417,FALSE,,,,,,
uu,2021,22492.36,10.3389/fpsyt.2021.685656,FALSE,,,,,,
uu,2021,18811.18,10.3389/fpubh.2021.621210,FALSE,,,,,,
uu,2021,22492.36,10.3389/fcell.2021.708754,FALSE,,,,,,
uu,2021,22061.99,10.3389/feart.2021.651967,FALSE,,,,,,
uu,2021,13798.85,10.3389/fgene.2021.659042,FALSE,,,,,,
uu,2021,9372.98,10.3389/fnins.2021.653470,FALSE,,,,,,
uu,2021,22273.84,10.3389/fpsyt.2021.659571,FALSE,,,,,,
uu,2021,13915.81,10.3389/fpsyt.2021.687062,FALSE,,,,,,
uu,2021,14157.26,10.3389/frobt.2021.652035,FALSE,,,,,,
uu,2021,12457.01,10.1002/jbmr.4298,TRUE,,,,,,
uu,2021,16068.18,10.3389/fimmu.2021.724739,FALSE,,,,,,
uu,2021,23175.5,10.3389/fpsyt.2021.711791,FALSE,,,,,,
uu,2021,19464.21,10.3389/fpubh.2021.588583,FALSE,,,,,,
uu,2021,23013.01,10.3389/fbioe.2021.728042,FALSE,,,,,,
uu,2021,14234.76,10.3389/feart.2021.732962,FALSE,,,,,,
uu,2021,14705.15,10.3389/ffunb.2021.716385,FALSE,,,,,,
uu,2021,22926.72,10.3389/fncir.2021.726893,FALSE,,,,,,
uu,2021,22792.38,10.3389/fped.2021.755437,FALSE,,,,,,
uu,2021,23126.64,10.3389/fpsyg.2021.700272,FALSE,,,,,,
uu,2021,23269.48,10.3389/fendo.2021.763138,FALSE,,,,,,
uu,2021,23209.21,10.3389/fneur.2021.730405,FALSE,,,,,,
uu,2021,22853.44,10.3389/fneur.2021.781702,FALSE,,,,,,
uu,2021,22774.06,10.3389/fpubh.2021.754861,FALSE,,,,,,
uu,2021,23199.39,10.3389/fimmu.2021.804408,FALSE,,,,,,
uu,2021,23169.39,10.3389/fncel.2021.781197,FALSE,,,,,,
uu,2021,11670.19,10.3389/fnint.2021.738768,FALSE,,,,,,
uu,2021,19822.72,10.1098/rspb.2021.1066,TRUE,,,,,,
uu,2021,45429.7,10.3389/fneur.2021.789784,FALSE,,,,,,
