"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2019,1617.647238,"10.1109/jsyst.2020.2965400",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Systems Journal","1932-8184","1932-8184","1937-9234",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/jeds.2020.2966680",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Journal of the Electron Devices Society","2168-6734",NA,"2168-6734",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kth",2019,1617.647238,"10.1109/tap.2020.2969753",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Antennas and Propagation","0018-926X","0018-926X","1558-2221",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tpwrs.2020.2971866",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Power Systems","0885-8950","0885-8950","1558-0679",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tap.2020.2979482",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Antennas and Propagation","0018-926X","0018-926X","1558-2221",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tccn.2020.2981031",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Cognitive Communications and Networking","2332-7731",NA,"2332-7731",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/lra.2020.2988180",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Robotics and Automation Letters","2377-3766",NA,"2377-3766",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/jsac.2020.3000408",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Journal on Selected Areas in Communications","0733-8716","0733-8716","1558-0008",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tmtt.2020.3004585",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Microwave Theory and Techniques","0018-9480","0018-9480","1557-9670",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/twc.2020.3006959",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Wireless Communications","1536-1276","1536-1276","1558-2248",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tmi.2020.3007165",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Medical Imaging","0278-0062","0278-0062","1558-254X",NA,NA,TRUE,"32746133",NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tmtt.2020.3022060",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Microwave Theory and Techniques","0018-9480","0018-9480","1557-9670",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/access.2020.3026193",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kth",2019,1617.647238,"10.1109/tap.2020.3026921",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Antennas and Propagation","0018-926X","0018-926X","1558-2221",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/access.2020.3028606",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kth",2019,1617.647238,"10.1109/tcomm.2020.3028876",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Communications","0090-6778","0090-6778","1558-0857",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/access.2020.3029014",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kth",2019,1617.647238,"10.1109/tmi.2020.3031318",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Medical Imaging","0278-0062","0278-0062","1558-254X",NA,NA,TRUE,"33055024",NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tase.2020.3033664",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Automation Science and Engineering","1545-5955","1545-5955","1558-3783",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/jmw.2020.3033847",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Journal of Microwaves","2692-8388",NA,"2692-8388",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tpwrd.2020.3038258",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Power Delivery","0885-8977","0885-8977","1937-4208",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tie.2020.3040668",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Industrial Electronics","0278-0046","0278-0046","1557-9948",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/toh.2020.3044682",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Haptics","1939-1412","1939-1412","2329-4051",NA,NA,TRUE,"33315572",NA,NA,NA,FALSE
"kth",2019,1617.647238,"10.1109/tac.2020.3047336",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Automatic Control","0018-9286","0018-9286","1558-2523",NA,NA,TRUE,NA,NA,NA,NA,FALSE
